DEBUGPROFILE	DEBUGGING / PROFILING ONLY
optionEnableNewTransferManager	ENABLE/DISABLE TRANSFER MANAGER
GROUP_SERVICE_OPTIONS	Варианты обслуживания
optionPreferLocalService	Предпочитаю местные районные службы
optionPreferLocalService_txt	Дальнейшее улучшение локализации услуг путем сопоставления запросов с низким приоритетом только с служебными зданиями в том же районе (или за пределами любого района). Как только невыполненный запрос становится высокоприоритетным, он будет обслуживаться любым ближайшим сервисным предложением. Затрагивает: мусор, полиция, здравоохранение, обслуживание, почта, такси.
GROUP_WAREHOUSE_OPTIONS	Варианты доставки
optionWarehouseFirst	Склад Один
optionWarehouseFirst_txt	Все поставки товаров (входящие и исходящие) предпочтительно осуществлять через склады, если таковые имеются. Увеличьте трафик склада, чтобы ваши склады были лучше расположены стратегически.
optionWarehouseReserveTrucks	Резерв грузовых автомобилей склада для местных перевозок
optionWarehouseReserveTrucks_txt	Рекомендуется включить с Warehouse First: зарезервируйте 25% вместимости складских грузовиков для удовлетворения потребностей города, предотвращает использование всех грузовиков для экспорта.
optionWarehouseNewBalanced	Улучшенная региональность склада
optionWarehouseNewBalanced_txt	Склады в СБАЛАНСИРОВАННОМ режиме будут ждать, чтобы купить на местных складах или продать на местный склад, прежде чем принять решение об импорте/экспорте соответственно. Это должно сократить ненужный импорт/экспорт и сделать внутригородские складские перевозки более надежными. Обратите внимание, что импорт/экспорт по-прежнему будет происходить.
GROUP_EXPORTIMPORT_OPTIONS	Параметры экспорта/импорта
optionPreferExportShipPlaneTrain	Импорт/экспорт предпочитают использовать корабль/самолет/поезд вместо шоссе
optionPreferExportShipPlaneTrain_txt	Экспериментальная функция!
